domain	alnlen	evalue	bits
d1fioa_.pdb	190	2.327e-25	1224.0
d1r76a_.pdb	384	1.781e-74	3326.0
d3twya_.pdb	137	5.775e-27	1282.0
d1qqp3_.pdb	220	1.352e-42	1863.0
d2fdra1.pdb	222	3.5e-47	1809.0
d1mbya_.pdb	75	5.918e-14	628.0
d1tqja_.pdb	217	7.335e-46	1871.0
d1eg2a_.pdb	270	6.644e-60	2377.0
d2geya1.pdb	144	9.844e-33	1217.0
d1fd3a_.pdb	41	4.149e-09	361.0
d1g25a_.pdb	65	1.223e-14	562.0
d1ibja_.pdb	380	7.798e-87	3372.0
d1g4us2.pdb	230	2.993e-52	2035.0
d2dpia2.pdb	273	4.211e-63	2325.0
d1qfoa_.pdb	115	3.248e-26	1073.0
d2ak3a1.pdb	189	2.451e-40	1480.0
d1ejba_.pdb	168	9.878e-39	1419.0
d2f4pa1.pdb	134	1.908e-30	1314.0
d3l60a_.pdb	229	3.957e-51	1953.0
d1weya_.pdb	104	1.202e-20	797.0
d1ahoa_.pdb	64	1.081e-13	548.0
d1d4va2.pdb	40	5.247e-08	321.0
d1dk8a_.pdb	147	1.228e-22	1085.0
d1mska_.pdb	327	1.138e-72	2817.0
d2vpja_.pdb	289	7.169e-56	2756.0
d1vkwa_.pdb	217	9.472e-46	1850.0
d3bp3a_.pdb	81	1.148e-17	644.0
d1cuka2.pdb	78	1.713e-12	523.0
d1ea5a_.pdb	532	0.0	4938.0
d1h6pa_.pdb	188	1.574e-26	1352.0
d2nn6e1.pdb	181	4.864e-41	1574.0
d1j0ta_.pdb	78	1.636e-14	586.0
d1khda1.pdb	69	2.634e-10	449.0
d1okia1.pdb	91	2.378e-19	849.0
d1u5tb2.pdb	75	1.247e-14	556.0
d1x6ma_.pdb	196	2.818e-44	1731.0
d3tg0a_.pdb	440	0.0	4028.0
d2j01u1.pdb	117	4.154e-18	779.0
d2pgga1.pdb	765	0.0	6743.0
d1kf6a2.pdb	311	2.709e-70	2734.0
d1q8ya_.pdb	351	8.612e-74	3113.0
d2p3wa_.pdb	110	3.509e-22	949.0
d1cexa_.pdb	197	1.312e-41	1684.0
d2eppa1.pdb	53	1.548e-08	318.0
d2epsa1.pdb	39	4.879e-07	264.0
d2etda1.pdb	139	2.583e-18	857.0
d2zbxa_.pdb	399	1.456e-69	3374.0
d2b8ea2.pdb	113	6.703e-23	912.0
d2v3ka1.pdb	218	1.593e-50	1891.0
d1svya_.pdb	102	2.063e-22	850.0
d1lzla_.pdb	317	7.179e-71	2786.0
d1dnla_.pdb	199	3.444e-44	1767.0
d2cy2a1.pdb	174	2.32e-40	1518.0
d1gsma2.pdb	116	4.535e-23	1029.0
d1ok7a1.pdb	122	9.351e-24	1034.0
d2dfka1.pdb	203	4.992e-30	1507.0
d1hxmb2.pdb	107	1.614e-21	967.0
d1rm6a2.pdb	636	0.0	5937.0
d1wmib1.pdb	61	2.288e-09	294.0
d1wmxa_.pdb	173	1.379e-35	1607.0
d1f2ri_.pdb	100	2.773e-23	860.0
d1jmxa5.pdb	119	5.071e-22	1033.0
d1tgxa_.pdb	60	5.896e-12	528.0
d1usca_.pdb	178	6.482e-36	1597.0
d3le2a_.pdb	393	2.555e-93	3551.0
d2ozlb2.pdb	138	1.601e-32	1186.0
d1pkpa1.pdb	71	1.179e-14	587.0
d1v0da_.pdb	244	2.602e-48	1984.0
d2csga1.pdb	417	6.905e-90	3757.0
d1r6ta2.pdb	386	2.718e-76	3305.0
d2ih2a2.pdb	170	7.048e-42	1549.0
d1d0qa_.pdb	102	7.592e-22	828.0
d1k6ya1.pdb	46	4.206e-08	331.0
d1m32a_.pdb	361	6.3e-80	3196.0
d1mo9a1.pdb	261	1.79e-61	2299.0
d3a3da_.pdb	453	0.0	4235.0
d1afwa1.pdb	266	2.085e-59	2228.0
d1zud2_.pdb	65	2.385e-14	525.0
d2d59a_.pdb	141	7.314e-30	1194.0
d1iyua_.pdb	79	5.5e-16	657.0
d2ewca1.pdb	120	2.369e-27	1043.0
d2z26a_.pdb	344	3.435e-81	3122.0
d2dzna_.pdb	226	2.469e-40	1941.0
d3tuia_.pdb	216	6.81e-31	1552.0
d1n4ka2.pdb	142	8.33e-27	1225.0
d2dj7a1.pdb	31	8.001e-06	228.0
d2e3ha1.pdb	71	3.677e-15	629.0
d2incb_.pdb	322	3.771e-45	2453.0
d1mp1a_.pdb	111	7.951e-21	865.0
d1qsaa2.pdb	168	2.708e-27	1330.0
d1gg4a1.pdb	135	1.489e-28	1122.0
d1vb5a_.pdb	274	3.153e-58	2350.0
d1rypb_.pdb	250	1.386e-55	2181.0
d3epua_.pdb	134	2.668e-25	1081.0
d1np7a1.pdb	279	3.309e-45	2342.0
d2d7va1.pdb	155	3.471e-33	1275.0
d1c44a_.pdb	123	2.076e-29	1051.0
d1jyoa_.pdb	130	5.47e-28	1061.0
d1u5sa1.pdb	71	1.29e-14	602.0
d1y2oa1.pdb	248	3.375e-31	1444.0
d2byoa1.pdb	183	3.024e-38	1638.0
d1etea_.pdb	134	1.534e-26	1084.0
d1udxa2.pdb	180	7.312e-40	1475.0
d1btna_.pdb	106	1.877e-21	941.0
d1p90a_.pdb	123	6.824e-27	1055.0
d2g3ra1.pdb	53	1.259e-10	465.0
d2p1aa1.pdb	142	1.222e-22	995.0
d1dzfa1.pdb	139	9.587e-32	1170.0
d1nkta2.pdb	205	8.904e-29	1304.0
d1wp1a_.pdb	456	1.419e-71	3632.0
d1ed7a_.pdb	45	1.721e-10	393.0
d1frea_.pdb	39	1.198e-07	280.0
d1fsga_.pdb	233	3.08e-54	2105.0
d2a2ma1.pdb	231	8.734e-35	1813.0
d1cs6a1.pdb	97	5.533e-20	908.0
d1nt2b_.pdb	236	1.329e-34	1686.0
d1zh5a1.pdb	99	5.07e-19	704.0
d2cu2a1.pdb	67	9.583e-15	557.0
d2g30a2.pdb	113	8.828e-23	967.0
d1a3wa3.pdb	134	5.529e-30	1126.0
d2giba1.pdb	97	2.712e-21	789.0
d2uuyb1.pdb	51	5.322e-11	426.0
d2z16a_.pdb	153	2.878e-23	1164.0
d1h7ea_.pdb	245	1.18e-55	2112.0
d2oqpa1.pdb	133	2.934e-26	1053.0
d1bbga_.pdb	40	9.183e-11	350.0
d1beia_.pdb	35	5.825e-08	249.0
d1bf2a3.pdb	475	0.0	4307.0
d2uyoa_.pdb	275	6.534e-59	2380.0
d1vi7a2.pdb	71	1.425e-13	568.0
d1wjpa3.pdb	41	6.504e-08	286.0
d1ws6a1.pdb	171	6.609e-38	1427.0
d1bd7a_.pdb	176	1.466e-35	1637.0
d1olla1.pdb	95	3.154e-19	896.0
d1yloa2.pdb	264	6.857e-61	2337.0
d1g60a_.pdb	238	9.897e-55	2110.0
d2cssa1.pdb	108	5.917e-24	964.0
d3h4ta_.pdb	390	1.484e-76	3335.0
d1aisa1.pdb	92	8.638e-18	688.0
d1ki1b1.pdb	210	2.146e-29	1511.0
d1z05a3.pdb	128	1.781e-29	1108.0
d2ywka_.pdb	84	1.812e-19	690.0
d1f08a_.pdb	148	6.216e-32	1249.0
d1t33a2.pdb	132	9.843e-20	887.0
d1y7pa1.pdb	139	1.055e-28	1137.0
d1eaja_.pdb	124	3.804e-28	1180.0
d1r3na1.pdb	322	2.812e-75	2943.0
d3psma_.pdb	47	1.277e-10	401.0
d1d2za_.pdb	102	9.145e-17	693.0
d1es6a2.pdb	109	5.278e-25	936.0
d1uypa2.pdb	294	6.68e-58	2842.0
d1dfup_.pdb	94	3.799e-23	850.0
d1llda2.pdb	170	2.477e-36	1394.0
d1xria_.pdb	151	4.972e-34	1273.0
d3epra_.pdb	260	3.51e-60	2250.0
d2nwua1.pdb	130	6.168e-30	1095.0
d3shua_.pdb	94	8.534e-19	758.0
d1gtea4.pdb	196	6.175e-45	1656.0
d2fhfa5.pdb	563	0.0	5082.0
d2hh8a1.pdb	127	3.945e-30	1078.0
d1kuta_.pdb	213	1.432e-46	1781.0
d2bfwa1.pdb	196	1.294e-41	1614.0
d1l8ra_.pdb	101	3.473e-20	804.0
d1tvna1.pdb	293	1.216e-67	2593.0
d1mrza2.pdb	157	2.186e-35	1295.0
d2fvya_.pdb	305	8.341e-63	2585.0
d2v3ga_.pdb	273	1.082e-60	2474.0
d2nmla1.pdb	100	1.731e-20	788.0
d3ip0a_.pdb	158	9.894e-37	1365.0
d1pgl11.pdb	185	3.22e-39	1700.0
d1p5zb_.pdb	229	2.237e-46	1854.0
d2oa5a_.pdb	92	1.041e-13	531.0
d2p97a1.pdb	200	1e-46	1807.0
d1svva_.pdb	340	1.128e-73	3016.0
d1r8ea2.pdb	157	7.376e-32	1371.0
d2y88a_.pdb	244	4.268e-57	2158.0
d2co8a1.pdb	33	1.11e-06	263.0
d2cupa2.pdb	31	1.266e-05	222.0
d2diia1.pdb	48	8.349e-07	260.0
d2dipa1.pdb	85	1.002e-16	652.0
d1w0ma_.pdb	225	1.419e-49	1902.0
d1jdpa_.pdb	396	3.063e-84	3480.0
d1pw4a_.pdb	434	3.96e-56	3390.0
d3dfea_.pdb	82	1.35e-17	665.0
d1ji1a3.pdb	432	1.65e-103	3938.0
d1c3pa_.pdb	372	9.224e-84	3300.0
d3h31a_.pdb	74	7.1e-18	625.0
d3mmca2.pdb	166	1.774e-36	1391.0
d1ia6a_.pdb	423	3.22e-75	3682.0
d2zcwa1.pdb	82	3.268e-16	621.0
d2xmja_.pdb	63	4.985e-13	486.0
d3sj3a_.pdb	220	1.033e-45	1853.0
d2oi8a1.pdb	79	6.415e-12	488.0
d2phcb1.pdb	132	3.282e-28	1192.0
d1cnna_.pdb	26	5.052e-05	206.0
d1cnt1_.pdb	150	1.018e-20	1028.0
d1poia_.pdb	317	4.057e-74	2890.0
d1c52a_.pdb	131	7.639e-28	1097.0
d1kyqa2.pdb	123	3.35e-22	897.0
d1n7oa1.pdb	371	3.267e-61	3048.0
d1afia_.pdb	72	2.951e-16	623.0
d1ixca2.pdb	205	1.505e-45	1719.0
d2bnma2.pdb	122	1.769e-24	1140.0
d3gnja_.pdb	111	2.436e-24	892.0
d1j0pa_.pdb	108	6.082e-27	847.0
d1jcfa2.pdb	196	4.674e-44	1645.0
d2hi1a_.pdb	325	1.83e-73	2815.0
d2ddza1.pdb	188	1.729e-41	1597.0
d1hkva2.pdb	265	6.999e-58	2292.0
d3g2sa_.pdb	146	4.418e-22	1099.0
d1u0ma1.pdb	200	1.443e-46	1707.0
d2qima_.pdb	157	7.302e-32	1367.0
d1okia2.pdb	92	2.595e-19	863.0
d1w6sa_.pdb	595	0.0	5834.0
d1tqya1.pdb	216	8.569e-48	1755.0
d2fgea1.pdb	258	4.237e-52	2108.0
d1ny8a_.pdb	97	4.036e-21	762.0
d1t2ma1.pdb	92	1.802e-17	777.0
d2b0ca1.pdb	197	1.126e-40	1639.0
d1hzta_.pdb	153	2.323e-35	1380.0
d2xkia_.pdb	110	2.162e-17	818.0
d3n53a_.pdb	117	2.193e-23	875.0
d1nnxa_.pdb	93	4.664e-19	820.0
d1v5va2.pdb	310	5.317e-73	2844.0
d1gph12.pdb	234	2.929e-53	2124.0
d2i0ka1.pdb	320	3.058e-75	2831.0
d1kjqa1.pdb	74	5.619e-16	635.0
d1oiha_.pdb	254	1.401e-58	2331.0
d2y28a_.pdb	180	1.11e-42	1608.0
d1cfea_.pdb	135	3.189e-33	1235.0
d2fmpa2.pdb	57	1.798e-10	418.0
d2hewf1.pdb	128	1.984e-25	1212.0
d1fg7a_.pdb	354	1.197e-77	3064.0
d1gsoa1.pdb	96	3.196e-18	823.0
d1ltza_.pdb	274	1.849e-56	2397.0
d2ovga_.pdb	58	3.71e-12	443.0
d3bfpa_.pdb	184	9.249e-36	1665.0
d1ir6a_.pdb	385	2.899e-75	3312.0
d1m0ja_.pdb	28	9.944e-05	188.0
d1m0wa1.pdb	108	5.341e-25	895.0
d1ez4a2.pdb	171	1.026e-36	1341.0
d1qhva_.pdb	195	2.964e-42	1781.0
d2fvva1.pdb	135	4.605e-32	1226.0
d3qapa_.pdb	219	5.18e-30	1614.0
d1t8ca1.pdb	143	1.916e-31	1314.0
d2cc3a1.pdb	140	3.08e-28	1138.0
d3oq3a_.pdb	166	1.623e-25	1187.0
d1lama2.pdb	159	2.704e-33	1281.0
d1wvec_.pdb	75	5.175e-15	588.0
d1yqga1.pdb	111	4.571e-16	636.0
d2cnza_.pdb	123	1.082e-23	1095.0
d1c53a_.pdb	79	4.849e-15	595.0
d1f20a1.pdb	270	4.551e-60	2391.0
d2d8ra1.pdb	86	1.063e-20	698.0
d2elba2.pdb	93	7.727e-18	793.0
d3ceda1.pdb	95	3.747e-18	738.0
d1kv9a1.pdb	104	1.286e-18	776.0
d1rh8a_.pdb	142	9.81e-29	1320.0
d2p92a1.pdb	96	7.717e-21	793.0
d1egfa_.pdb	53	2.82e-12	461.0
d1z6oa1.pdb	200	1.757e-29	1462.0
d2piaa3.pdb	98	5.495e-22	850.0
d3qgma_.pdb	261	2.678e-57	2165.0
d2csua2.pdb	143	2.225e-31	1140.0
d1gz0a2.pdb	76	2.947e-16	594.0
d1mrza1.pdb	109	4.725e-19	873.0
d1x9za_.pdb	182	2.933e-37	1532.0
d1d8ia_.pdb	288	1.376e-58	2528.0
d2je8a3.pdb	105	4.02e-21	961.0
d1czan1.pdb	207	2.254e-45	1703.0
d1pd0a1.pdb	102	2.496e-15	730.0
d1u7ka_.pdb	131	1.518e-22	1026.0
d2fxta1.pdb	192	5.423e-42	1617.0
d1dq3a3.pdb	98	2.426e-20	771.0
d1n8yc1.pdb	154	4.419e-32	1398.0
d1qopa_.pdb	265	5.555e-53	2241.0
d1nn7a_.pdb	105	1.504e-23	867.0
d1p5dx2.pdb	104	3.89e-24	892.0
d1ys5a1.pdb	155	3.118e-32	1357.0
d2iv2x2.pdb	564	0.0	5125.0
d1vj0a1.pdb	184	3.725e-41	1691.0
d3b4ua_.pdb	287	4.36e-59	2402.0
d2gz1a2.pdb	202	1.068e-48	1810.0
d1lfpa_.pdb	243	5.009e-50	2068.0
d2qrwa_.pdb	126	4.652e-21	954.0
d1o3ua_.pdb	120	1.611e-19	867.0
d1vrma1.pdb	309	6.412e-68	2692.0
d1itha_.pdb	141	7.149e-21	1022.0
d1sdoa_.pdb	192	1.455e-44	1629.0
d2gpea_.pdb	47	1.732e-07	266.0
d1t5oa_.pdb	340	7.32e-72	2923.0
d1o69a_.pdb	374	8.706e-83	3319.0
d1jt6a2.pdb	115	2.799e-17	715.0
d1n0wa_.pdb	210	2.943e-48	1805.0
d3zxfa_.pdb	135	5.481e-28	1306.0
d1ua4a_.pdb	454	7.092e-98	4031.0
d2ia7a1.pdb	111	8.588e-23	882.0
d3hlxa_.pdb	254	3.417e-37	2008.0
d1rh9a1.pdb	370	1.605e-80	3260.0
d1vfra_.pdb	217	1.588e-44	1802.0
d1xjva2.pdb	151	1.517e-32	1361.0
d3i42a_.pdb	118	3.228e-24	928.0
d1qlsa_.pdb	95	9.416e-17	623.0
d1ry6a_.pdb	319	3.086e-72	2802.0
d1k5nb_.pdb	100	4.945e-20	926.0
d1vh3a_.pdb	211	8.992e-49	1799.0
d3ucxa_.pdb	258	1.156e-52	2117.0
d1ci9a_.pdb	377	1.788e-87	3355.0
d1zpda3.pdb	204	3.863e-45	1692.0
d1obba1.pdb	171	5.84e-35	1387.0
d3iaia_.pdb	257	2.791e-59	2443.0
d1p4da_.pdb	275	1.113e-57	2420.0
d1dwka2.pdb	70	2.387e-12	496.0
d1iq8a1.pdb	355	6.239e-73	3030.0
d1iwga8.pdb	222	3.512e-33	1674.0
d1wl8a1.pdb	187	2.387e-45	1688.0
d3u28b_.pdb	48	4.353e-09	356.0
d1b3ua_.pdb	588	3.668e-67	4514.0
d1bama_.pdb	200	2.823e-46	1707.0
d1rc9a2.pdb	57	7.344e-15	452.0
d2izxa_.pdb	39	2.936e-06	205.0
d2j0111.pdb	88	2.248e-18	720.0
d3brda3.pdb	157	6.368e-31	1445.0
d1kcqa_.pdb	103	8.489e-24	884.0
d1u5ka1.pdb	78	1.509e-15	707.0
d2buda1.pdb	88	7.094e-19	761.0
d2hjea_.pdb	210	3.964e-47	1774.0
d1k66a_.pdb	149	6.603e-33	1214.0
d2d1sa_.pdb	539	0.0	4928.0
d3do6a_.pdb	543	0.0	4764.0
d2akza2.pdb	139	5.511e-29	1152.0
d2zr1a_.pdb	250	5.264e-60	2218.0
d1nh2b_.pdb	46	1.399e-06	249.0
d1nkqa_.pdb	247	2.505e-61	2313.0
d2ogga1.pdb	144	8.984e-28	1228.0
d1gh8a_.pdb	89	1.358e-17	742.0
d1opca_.pdb	99	4.469e-22	825.0
d1sqha_.pdb	297	4.175e-65	2662.0
d1fjha_.pdb	236	8.765e-50	1949.0
d2xvya_.pdb	262	4.143e-57	2186.0
d2q3ua_.pdb	365	3.879e-82	3375.0
d1t98a2.pdb	163	1.431e-22	1086.0
d2dy7a1.pdb	81	6.208e-18	697.0
d2jeka1.pdb	140	1.388e-23	1129.0
d1okta2.pdb	85	1.571e-18	671.0
d1ussa_.pdb	88	1.51e-17	640.0
d1veca_.pdb	206	1.197e-45	1708.0
d1eova1.pdb	134	2.796e-27	1175.0
d1r89a1.pdb	115	7.743e-22	928.0
d1u97a_.pdb	69	1.617e-12	453.0
d2fa8a1.pdb	86	1.544e-20	732.0
d2tpta1.pdb	70	3.848e-11	482.0
d3dxoa1.pdb	117	3.196e-25	1008.0
d1gpma1.pdb	175	2.686e-36	1402.0
d2f3na1.pdb	64	2.054e-11	433.0
d2fq4a2.pdb	115	5.644e-16	763.0
d2pq7a1.pdb	174	4.671e-27	1238.0
d1k2wa_.pdb	256	2.825e-56	2168.0
d3kqsa_.pdb	257	1.715e-60	2333.0
d1h6ka1.pdb	264	6.542e-40	2021.0
d2i9xa1.pdb	84	6.762e-15	672.0
d3l7ha_.pdb	86	3.586e-16	693.0
d1n62a1.pdb	82	4.128e-14	585.0
d1omoa_.pdb	320	4.947e-74	2883.0
d1oa0a_.pdb	543	0.0	4738.0
d2atza1.pdb	176	9.375e-35	1495.0
d1ecfa1.pdb	243	6.917e-54	2020.0
d2etva1.pdb	334	4.78e-67	2846.0
d1vcla3.pdb	149	2.678e-32	1349.0
d2heqa1.pdb	71	3.934e-15	617.0
d1r1ga_.pdb	31	6.941e-06	214.0
d1r3da_.pdb	257	1.021e-56	2237.0
d1o91a_.pdb	131	4.099e-27	1242.0
d1yt8a3.pdb	157	1.198e-32	1288.0
d2x06a_.pdb	344	2.225e-74	2970.0
d2fbka1.pdb	156	4.22e-27	1089.0
d2vz0a_.pdb	249	9.141e-56	2161.0
d1xkra_.pdb	205	3.452e-44	1731.0
d1ec7a1.pdb	309	8.304e-70	2685.0
d2v03a_.pdb	294	1.554e-66	2539.0
d3fcxa_.pdb	268	7.58e-64	2474.0
d2i9aa2.pdb	83	2.437e-20	745.0
d2jova1.pdb	77	3.012e-16	663.0
d3ersx_.pdb	112	3.478e-21	961.0
d1jatb_.pdb	132	5.841e-29	1138.0
d1r8sa_.pdb	160	1.193e-35	1322.0
d3ccda_.pdb	85	7.427e-18	706.0
d1g9la_.pdb	144	5.956e-25	966.0
d1kwga1.pdb	54	4.344e-10	458.0
d1o7fa1.pdb	142	1.114e-27	1127.0
d2ayha_.pdb	214	7.939e-45	2058.0
d1fp1d2.pdb	230	3.644e-52	1976.0
d2j07a1.pdb	234	4e-39	1948.0
d1f0la1.pdb	155	6.433e-34	1517.0
d1wjza_.pdb	94	3.494e-14	634.0
d2az4a1.pdb	183	3.214e-41	1546.0
d3ag3m_.pdb	43	2.496e-06	235.0
d3ai2a_.pdb	263	3.874e-57	2305.0
d2j0wa1.pdb	292	2.566e-63	2484.0
d1vq811.pdb	56	3.722e-11	400.0
d2z1aa2.pdb	302	1.442e-68	2798.0
d2f8ya_.pdb	215	1.526e-34	1743.0
d1dqea_.pdb	137	4.266e-22	1051.0
d1r6ra_.pdb	80	2.339e-13	515.0
d1r6ta1.pdb	54	1.365e-07	307.0
d1rwza2.pdb	122	3.258e-24	1065.0
d2fsja2.pdb	157	4.317e-37	1413.0
d1i9za_.pdb	336	1.476e-77	3060.0
d2x3da_.pdb	90	7.87e-17	752.0
d1chma1.pdb	155	6.272e-36	1336.0
d2a90a1.pdb	80	2.515e-17	671.0
d2fwmx_.pdb	212	1.244e-46	1789.0
d1t2da1.pdb	150	8.51e-34	1269.0
d3n3ma_.pdb	328	2.327e-63	2768.0
d2xi8a_.pdb	66	2.098e-12	461.0
d3buxb3.pdb	88	2.431e-21	780.0
d1gg3a2.pdb	92	8.183e-18	806.0
d1or7c_.pdb	66	1.049e-09	361.0
d1otga_.pdb	125	5.776e-28	1023.0
d1w5fa2.pdb	121	1.139e-28	1035.0
d1lgpa_.pdb	113	2.739e-22	904.0
d1pjra2.pdb	308	3.338e-63	2514.0
d1hwtc1.pdb	39	1.901e-07	292.0
d1hyoa2.pdb	298	1.056e-68	2824.0
d2ba0a1.pdb	83	7.73e-18	735.0
d2qfia1.pdb	82	1.347e-18	669.0
d3efza1.pdb	216	3.33e-29	1500.0
d1qs0a_.pdb	407	5.459e-83	3541.0
d1lf7a_.pdb	164	1.072e-31	1429.0
d2ctea1.pdb	81	6.276e-17	623.0
d2j0wa2.pdb	91	1.252e-17	682.0
d1dkca_.pdb	38	4.984e-08	330.0
d1egaa2.pdb	113	2.78e-25	937.0
d1nzea_.pdb	112	2.51e-16	766.0
d1um0a_.pdb	365	1.503e-80	3234.0
d1h3ob_.pdb	74	8.566e-12	463.0
d1hwma_.pdb	251	3.981e-57	2228.0
d1yvwa1.pdb	92	5.768e-13	561.0
d2fuea_.pdb	246	1.044e-55	2098.0
d1p3y1_.pdb	171	7.399e-40	1517.0
d1oi2a_.pdb	336	9.597e-84	3103.0
d1f7ua3.pdb	134	3.186e-29	1077.0
d1l2wi_.pdb	57	1.176e-08	300.0
d1l3ia_.pdb	186	7.901e-39	1566.0
d2heyr2.pdb	24	0.0004446	177.0
d2hhva1.pdb	171	1.305e-38	1434.0
d1ffta_.pdb	501	1.828e-74	4089.0
d2cpqa1.pdb	78	2.596e-16	606.0
d2pd1a1.pdb	100	1.911e-20	768.0
d1h6ta2.pdb	210	3.645e-44	1886.0
d1szba1.pdb	121	6.092e-25	1107.0
d2cpha1.pdb	94	9.13e-21	787.0
d2reta1.pdb	81	6.556e-14	540.0
d1bnba_.pdb	38	1.042e-08	331.0
d1clca1.pdb	441	8.938e-84	3881.0
d2ra5a1.pdb	150	3.902e-28	1280.0
d1nd6a_.pdb	342	1.824e-72	3005.0
d1cr5a1.pdb	82	2.377e-18	728.0
d1g3pa1.pdb	65	1.018e-12	562.0
d2iuwa1.pdb	202	5.899e-45	1897.0
d1g3pa2.pdb	127	8.966e-26	1102.0
d1q6wa_.pdb	151	1.46e-30	1294.0
d2fhxa_.pdb	245	1.738e-59	2155.0
d1mgta1.pdb	81	8.608e-16	635.0
d1p5ja_.pdb	319	4.901e-69	2733.0
d1lfda_.pdb	87	4.72e-20	741.0
d1s5aa_.pdb	139	1.023e-29	1190.0
d2g17a1.pdb	179	2.837e-40	1528.0
d1i0va_.pdb	104	7.318e-24	904.0
d3d03a_.pdb	274	4.168e-64	2485.0
d2d4ra1.pdb	146	6.447e-30	1252.0
d1gr0a2.pdb	85	3.368e-19	734.0
d1q0ua_.pdb	209	3.267e-44	1696.0
d3pmga2.pdb	113	3.828e-27	961.0
d1cbya_.pdb	227	8.345e-49	1936.0
d2dj8a1.pdb	47	3.244e-09	332.0
d2duma_.pdb	143	1.313e-30	1130.0
d1dj0a_.pdb	264	9.703e-66	2441.0
d1uwsa_.pdb	483	4.209e-103	4429.0
d2e0qa_.pdb	104	9.012e-24	868.0
d2rfva_.pdb	391	1.639e-90	3534.0
d3afva_.pdb	439	0.0	4012.0
d1whwa_.pdb	99	6.126e-21	808.0
d2f62a_.pdb	158	6.627e-35	1274.0
d1j09a2.pdb	305	4.933e-70	2639.0
d2r8oa2.pdb	331	8.557e-64	2829.0
d1wu2a3.pdb	136	3.296e-29	1091.0
d2pw8i_.pdb	62	3.73e-12	473.0
d2wqta_.pdb	262	1.531e-66	2385.0
d1mkfa_.pdb	371	5.38e-86	3594.0
d1ejfa_.pdb	110	2.74e-22	1018.0
d1p6oa_.pdb	156	2.77e-37	1361.0
d1v7wa2.pdb	270	5.692e-60	2644.0
d1j5ja_.pdb	36	1.059e-07	311.0
d1jpdx1.pdb	208	1.347e-46	1757.0
d2gvia1.pdb	168	3.946e-36	1363.0
d1hxha_.pdb	253	1.091e-56	2136.0
d2r9ga1.pdb	180	8.741e-31	1348.0
d1e29a_.pdb	135	3.786e-27	1105.0
d2i5vo_.pdb	246	9.449e-43	2100.0
d1mk4a_.pdb	157	5.546e-37	1384.0
d2auwa2.pdb	84	3.176e-17	700.0
d2gj3a_.pdb	119	1.006e-24	1028.0
d1cs6a3.pdb	91	4.909e-20	853.0
d1o13a_.pdb	107	8.434e-25	927.0
d1v6za2.pdb	162	1.471e-34	1316.0
d1b5qa2.pdb	112	6.178e-23	914.0
d1lc5a_.pdb	355	7.602e-78	3137.0
d1gu7a2.pdb	189	1.168e-38	1574.0
d3m5ba_.pdb	109	3.622e-24	897.0
